,date,close_000166.XSHE,close_000416.XSHE,close_000563.XSHE,close_000567.XSHE,close_000617.XSHE,close_000627.XSHE,close_000686.XSHE,close_000712.XSHE,close_000728.XSHE
272,2018-02-09,4.95,4.82,3.71,22.3,12.08,6.98,7.72,12.35,8.99
273,2018-02-12,4.91,5.0,3.75,23.0,12.85,7.05,7.73,12.92,9.02
274,2018-02-13,4.9,4.95,3.76,23.39,12.82,7.15,7.78,13.07,9.0
275,2018-02-14,4.92,4.98,3.76,25.5,12.87,7.16,7.72,13.21,8.86
276,2018-02-22,4.93,5.1,3.84,25.52,13.12,7.27,7.79,13.26,8.96
277,2018-02-23,4.94,5.15,3.86,25.1,12.95,7.33,7.83,13.3,8.99
278,2018-02-26,5.02,5.27,3.9,25.1,13.38,7.46,7.97,13.57,9.23
279,2018-02-27,4.98,5.28,3.89,25.4,13.37,7.39,7.92,13.59,9.2
280,2018-02-28,4.96,5.36,3.91,25.53,13.3,7.47,7.95,13.8,9.35
281,2018-03-01,4.97,5.4,3.9,25.89,13.38,7.5,7.98,13.75,9.41
282,2018-03-02,4.93,5.54,3.92,25.5,13.19,7.44,7.93,13.6,9.21
283,2018-03-05,4.94,5.54,3.98,25.56,13.66,7.51,7.91,13.38,9.23
284,2018-03-06,5.0,5.57,4.01,25.82,13.81,7.75,8.03,14.45,9.39
285,2018-03-07,4.94,5.49,3.93,25.94,13.69,7.75,7.91,14.25,9.22
286,2018-03-08,4.97,5.47,3.94,25.75,13.68,7.85,7.93,14.57,9.21
287,2018-03-09,5.01,5.58,3.98,25.66,13.81,7.88,8.03,14.64,9.46
288,2018-03-12,5.03,5.69,4.05,27.64,14.12,8.15,8.14,14.98,9.6
289,2018-03-13,4.98,5.72,4.01,26.7,13.9,8.04,8.03,14.68,9.43
290,2018-03-14,4.97,5.68,3.98,26.0,13.67,7.77,7.97,14.4,9.32
291,2018-03-15,4.94,5.56,3.96,25.95,13.64,8.26,7.92,14.63,9.22
292,2018-03-16,4.93,5.8,3.95,26.18,13.64,8.17,7.86,14.85,9.11
293,2018-03-19,4.98,6.38,4.03,25.15,13.91,8.2,7.89,14.64,9.16
294,2018-03-20,4.96,6.53,3.99,24.61,13.68,8.03,7.85,14.68,9.17
295,2018-03-21,4.96,6.21,3.97,24.6,13.96,8.03,7.9,14.8,9.21
296,2018-03-22,4.93,6.19,3.93,24.59,14.07,7.88,7.89,14.83,9.09
297,2018-03-23,4.89,5.59,3.71,22.76,13.46,7.53,7.62,14.13,8.65
