,date,close_000166.XSHE,close_000416.XSHE,close_000563.XSHE,close_000567.XSHE,close_000617.XSHE,close_000627.XSHE,close_000686.XSHE,close_000712.XSHE,close_000728.XSHE
121,2017-07-05,5.57,8.09,5.02,26.12,15.71,8.28,9.79,16.21,12.11
122,2017-07-06,5.58,8.08,4.96,26.32,16.29,8.45,9.74,16.8,11.98
123,2017-07-07,5.67,8.15,4.99,26.05,16.25,8.36,9.9,17.07,12.34
124,2017-07-10,5.67,8.05,5.15,27.12,16.13,8.49,9.99,17.69,12.45
125,2017-07-11,5.68,7.98,5.03,26.48,15.94,8.81,9.9,17.44,12.38
126,2017-07-12,5.65,8.02,5.0,26.1,16.14,8.92,9.9,18.54,12.22
127,2017-07-13,5.74,7.94,5.15,26.82,16.31,8.92,10.08,18.54,12.89
128,2017-07-14,5.72,7.89,5.09,27.14,16.13,9.26,9.98,18.46,12.96
129,2017-07-17,5.55,7.43,5.15,27.2,15.21,9.6,9.53,17.32,12.25
130,2017-07-18,5.55,7.45,5.55,27.05,15.48,9.88,9.55,17.85,12.12
131,2017-07-19,5.84,7.45,5.66,28.08,16.34,9.86,10.14,18.77,13.16
132,2017-07-20,5.8,8.2,5.72,27.58,16.68,10.26,10.19,18.61,13.1
133,2017-07-21,5.77,8.69,5.67,27.38,16.33,10.86,10.1,19.2,12.96
134,2017-07-24,5.77,8.85,5.81,29.01,17.97,10.43,10.26,20.01,13.08
135,2017-07-25,5.73,8.68,5.59,28.41,17.46,10.75,10.15,19.67,12.86
136,2017-07-26,5.75,8.88,5.61,28.18,17.69,10.17,10.46,19.76,12.96
137,2017-07-27,5.83,8.66,5.48,28.23,17.29,9.69,10.49,19.29,13.1
138,2017-07-28,5.8,8.59,5.46,27.82,17.18,9.76,10.37,19.14,12.91
139,2017-07-31,5.84,8.65,5.54,27.38,17.31,10.06,10.43,19.18,13.02
140,2017-08-01,5.87,8.92,5.57,26.92,17.39,10.3,10.51,19.3,13.2
141,2017-08-02,5.89,8.65,5.54,27.0,17.23,9.95,10.5,19.06,13.68
142,2017-08-03,5.88,8.51,5.41,27.02,17.05,9.77,10.44,19.09,13.56
143,2017-08-04,5.9,8.35,5.39,25.6,16.95,9.34,10.45,19.11,13.63
144,2017-08-07,5.84,8.4,5.39,25.88,17.05,9.19,10.59,19.16,13.56
145,2017-08-08,5.86,8.54,5.42,26.08,17.65,9.33,10.64,19.47,13.85
146,2017-08-09,5.78,8.43,5.3,25.64,17.33,9.18,10.42,19.34,13.54
147,2017-08-10,5.77,8.19,5.24,25.79,16.62,9.32,10.51,18.69,13.36
148,2017-08-11,5.61,7.86,5.08,24.3,16.17,8.84,10.09,17.59,12.67
149,2017-08-14,5.78,8.06,5.17,24.31,16.47,8.99,10.5,17.97,12.99
150,2017-08-15,5.75,8.03,5.23,24.66,16.29,9.39,10.31,18.01,12.86
151,2017-08-16,5.74,8.09,5.22,25.1,16.55,9.26,10.31,18.17,12.94
152,2017-08-17,5.79,8.09,5.25,24.97,16.57,9.37,10.43,18.08,13.1
153,2017-08-18,5.73,8.02,5.22,25.03,16.77,9.51,10.28,18.02,12.86
154,2017-08-21,5.75,8.05,5.25,25.39,17.01,9.37,10.34,18.07,13.05
155,2017-08-22,5.71,8.1,5.18,25.08,16.94,9.29,10.28,17.75,13.13
156,2017-08-23,5.76,8.21,5.17,25.18,16.67,9.02,10.28,17.85,13.37
157,2017-08-24,5.68,8.04,5.1,24.87,16.47,9.03,10.05,17.62,13.1
158,2017-08-25,5.8,8.12,5.21,24.92,16.63,9.32,10.29,17.98,13.77
159,2017-08-28,6.04,8.28,5.41,25.44,17.01,9.51,10.76,18.78,14.51
160,2017-08-29,5.96,8.33,5.35,25.39,17.3,9.47,10.63,18.51,14.29
161,2017-08-30,5.99,8.29,5.35,26.49,17.24,9.58,10.74,18.53,14.18
162,2017-08-31,6.01,8.2,5.34,26.45,17.18,9.54,10.82,18.63,14.29
163,2017-09-01,6.03,8.2,5.32,26.48,17.29,9.43,10.78,19.03,14.37
164,2017-09-04,6.01,8.21,5.36,25.81,17.02,9.29,10.69,19.58,14.43
165,2017-09-05,6.0,8.09,5.32,25.83,17.54,9.72,10.67,19.5,14.24
166,2017-09-06,5.96,8.16,5.23,25.88,17.33,9.63,10.68,19.3,14.14
167,2017-09-07,5.9,8.1,5.22,26.12,17.07,9.54,10.49,18.92,13.97
168,2017-09-08,5.9,8.09,5.22,26.99,17.08,9.52,10.5,18.96,14.01
169,2017-09-11,5.91,8.04,5.21,27.12,17.13,9.36,10.54,18.91,14.16
170,2017-09-12,5.94,8.04,5.32,26.85,17.24,9.61,10.57,19.65,14.25
171,2017-09-13,5.91,8.06,5.25,26.82,17.13,9.48,10.52,19.68,14.2
172,2017-09-14,5.89,8.11,5.29,26.69,16.92,9.32,10.42,20.31,14.22
173,2017-09-15,5.89,8.02,5.36,27.95,16.92,9.35,10.4,20.46,14.32
174,2017-09-18,5.93,8.0,5.37,28.4,17.15,9.33,10.55,20.5,14.48
175,2017-09-19,5.87,7.98,5.41,30.7,16.79,9.38,10.43,19.76,14.15
176,2017-09-20,5.92,8.04,5.39,31.99,16.78,9.17,10.47,19.86,14.12
177,2017-09-21,5.86,7.92,5.37,30.6,16.64,9.13,10.41,20.79,13.86
178,2017-09-22,5.82,7.8,5.25,30.12,16.37,9.11,10.33,20.39,13.66
179,2017-09-25,5.77,7.7,5.08,30.5,16.15,8.87,10.2,19.57,13.5
180,2017-09-26,5.77,7.65,5.1,30.12,16.35,8.93,10.15,20.53,13.67
181,2017-09-27,5.77,7.86,5.1,30.52,16.42,8.94,10.14,20.89,13.74
182,2017-09-28,5.74,7.69,5.03,30.57,16.33,8.79,10.09,20.57,13.68
183,2017-09-29,5.76,7.78,5.05,31.33,16.51,8.79,10.15,21.05,13.8
